description	replication	population	age	n	num_state_healthy	tot_state_healthy	num_state_polyp	tot_state_polyp	num_state_cancer	tot_state_cancer	num_state_pre	tot_state_pre	num_state_clin	tot_state_clin	tot_state_dead	tot_state_dead_crc	tot_polyps_removed	tot_lesions_cured	tot_discounted_cost_routine	tot_discounted_cost_diagnostic	tot_discounted_cost_surveillance	tot_discounted_cost_treatment	tot_test0_performed	tot_test1_performed	tot_test2_performed
anylogic6	1	0	49	110000	93749	110000	7986	8305	143	148	105	148	38	42	8122	4	12	0	0.0	0.35396363636363637	0.0	13.527272727272727	0	0	42
anylogic6	1	0	50	110000	93572	111899	7625	9899	161	173	83	173	78	89	8642	10	2207	0	228.1820181818182	5.752706938461352	0.033269023133157695	27.894328738155544	13783	5554	27279
anylogic6	1	0	51	110000	91557	111921	8997	11393	201	216	109	216	92	106	9245	13	2244	0	230.3394392727996	8.24931898248385	0.0653692811573592	33.159256988999076	27375	5554	27613
anylogic6	1	0	52	110000	89685	111957	10232	12760	237	259	129	259	108	128	9846	17	2304	0	232.38394654370242	10.766169022960169	0.09989186448178682	39.57732718210848	40654	5554	27951
anylogic6	1	0	53	110000	87770	111993	11478	14154	271	300	144	300	127	154	10481	24	2366	0	234.3311260921514	13.170251299324175	0.1710261365462247	46.798967567886116	53692	5554	28289
anylogic6	1	0	54	110000	85863	112024	12620	15461	325	363	175	363	150	185	11192	30	2427	0	236.18541212324658	15.611844218180298	0.272581214049447	55.076258449297654	66492	5554	28620
anylogic6	1	0	55	110000	84682	112729	12973	16685	383	435	203	435	180	229	11962	43	3400	0	252.2763390701246	21.785569456287476	14.46465974619134	66.87499810076332	79055	10812	31307
anylogic6	1	0	56	110000	82935	112783	13945	17863	432	496	222	496	210	268	12688	49	3513	0	253.96528825225087	24.22619685311254	14.74284771238261	76.96812496260335	91446	10812	31701
anylogic6	1	0	57	110000	81180	112832	14783	18973	504	585	270	585	234	308	13533	63	3614	0	255.6116340967743	26.384290186345083	15.11224929491745	87.38351426911856	103898	10812	32082
anylogic6	1	0	58	110000	79401	112900	15525	20034	575	675	301	675	274	362	14499	76	3755	0	257.18486351699096	28.79494551388983	15.457266411707353	100.40491305152786	116165	10812	32500
anylogic6	1	0	59	110000	77546	112958	16233	21073	663	784	348	784	315	418	15558	90	3903	0	258.7016903476036	31.370504139930162	15.833649194027185	113.49797817100358	128358	10812	32935
